_NAME_,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,loaded,factor,pole
v000135,0.4036900354,0.142257612,-0.016844678,0.0343452621,-0.138331134,0.0737503477,-0.031010683,-0.032828188,0.0332772491,1,fac1,1
v000136,0.2939469644,0.1074386926,0.1054357391,-0.015051332,0.0825882342,0.0691606378,-0.017554557,-0.197988501,-0.002663504,0,,
v000137,0.034955545,-0.030650431,-0.12760561,0.1937087597,0.023231388,-0.184394976,0.0611249045,0.6891479045,-0.000786431,1,fac8,1
v000138,-0.161283378,0.1439774685,0.2677251069,0.176352713,-0.170960882,-0.112582765,-0.298188866,0.0895657277,0.0518591092,0,,
v000139,0.1396646265,0.0719451389,-0.181051421,0.3026572416,0.2897505897,-0.138265461,0.1811753315,0.2186305744,0.0760130068,1,fac4,1
v000140,-0.149782425,0.0088407061,0.3997254706,-0.003531961,-0.063973686,0.0361340831,-0.323834358,0.2554675319,-0.079980964,1,fac3,1
v000141,0.0852480866,-0.191889458,-0.358813818,0.1755945848,0.13831474,0.1897390549,0.2512489403,-0.35983399,-0.344063689,1,fac8,-1
v000142,0.4015743315,-0.147732434,-0.060754036,-0.164165489,-0.045486705,0.333050251,-0.10934676,0.0720967364,-0.243473745,1,fac1,1
v000143,-0.016375488,0.0505022869,0.0494952777,0.2155668945,0.038839945,0.0261964975,0.0696433732,0.3068128595,-0.013494898,1,fac8,1
v000144,0.0452532671,0.0503556644,0.0040354648,0.1991582227,0.0495563715,0.0703442501,0.0026545661,0.1453855195,-0.112235546,0,,
v000145,0.303696957,-0.420415196,-0.245471042,-0.252128747,-0.2911753,0.3273704212,-0.238471151,0.4328459475,0.1986466336,1,fac8,1
v000146,0.1774390745,0.2524864891,0.0255095718,0.0292767639,0.0480451478,-0.027765403,-0.031058752,0.0294813736,0.1021617842,0,,
v000147,0.4016746404,-0.082602377,-0.069123245,-0.064184853,0.0312442025,-0.084514187,-0.117517618,-0.162574405,0.02914944,1,fac1,1
v000148,0.0501502247,-0.109670062,-0.107309033,0.2402179622,0.1561546921,-0.038872044,-0.227939173,0.0810108952,-0.325182513,1,fac9,-1
v000149,0.0040536727,-0.03170648,0.0115127921,-0.017123747,0.2107897749,0.0414721261,-0.227809298,0.1393981658,-0.074977175,0,,
v000150,0.0820107824,0.0192449848,-0.037304576,-0.060973377,0.1811106436,-0.09291205,-0.343017075,0.0476701025,-0.061045842,1,fac7,-1
v000151,-0.088854959,0.0976908251,0.1444493445,-0.019678988,-0.00313734,-0.033297046,-0.016896643,-0.058984733,0.0681406071,0,,
v000152,0.3597973117,0.1175834871,0.0919795858,-0.026482446,-0.168795005,-0.01925144,-0.056953946,-0.068702995,-0.031240128,1,fac1,1
v000153,0.2030704842,0.1039712437,0.1990497311,-0.026756775,0.0342784214,-0.048723927,0.0569057923,-0.137947748,-0.038832152,0,,
v000154,0.3775461584,0.1148607514,-0.191777043,-0.051798202,0.0888881999,-0.008061279,0.0691503764,0.0136761286,0.0652162929,1,fac1,1
v000155,0.1210613714,0.3150717701,0.1628830064,-0.098323249,-0.116857929,-0.059510463,-0.074974856,0.0663705713,0.0132526649,1,fac2,1
v000156,-0.147839234,0.0067690484,0.4318259788,-0.172323582,0.0696225923,0.1637013313,-0.15896014,0.0731197388,0.0383287079,1,fac3,1
v000157,0.2104825508,0.0830551809,0.133876758,-0.00464065,0.2132310417,0.0313089265,-0.008857254,-0.102867994,-0.165164633,0,,
v000158,-0.084564492,-0.148199105,-0.113685702,0.1837229552,0.4691270083,0.0133897579,-0.070647176,0.0181619519,-0.357279688,1,fac5,1
v000159,-0.107902028,-0.040275415,0.1607979862,-0.093112818,0.2452702426,0.3459929937,-0.08152622,0.1628678066,-0.005599389,1,fac6,1
v000160,-0.188368656,0.1481650487,0.0632694155,0.1558517631,0.0401405258,0.3306857131,0.01176398,0.1518670587,0.016587502,1,fac6,1
v000161,0.2117998803,0.0834516514,0.0777729642,0.0241316342,-0.176071229,0.4791677412,-0.031869475,-0.06283624,-0.0093466,1,fac6,1
v000162,0.3305390745,0.0836806937,-0.14992254,0.2452528207,-0.066603854,0.1288768559,-0.065905131,-0.042089749,0.0534766667,1,fac1,1
v000163,-0.314221037,-0.078776615,0.3484333438,-0.112422494,-0.098569504,-0.036215594,-0.234961985,-0.320507794,-0.287001804,1,fac3,1
v000164,-0.153033521,0.3219090568,0.0401491208,0.3494422443,-0.230229229,-0.230584184,-0.268887682,-0.119086068,0.1150926965,1,fac4,1
v000165,0.3387733532,0.0275782654,0.1054225465,0.1030451447,0.0272444706,-0.179393476,-0.179152532,-0.013186502,-0.191865418,1,fac1,1
v000166,0.2818078239,0.0283141714,-0.201132363,0.1869559233,0.1242511678,-0.023445181,-0.034622022,-0.065698395,-0.005631122,0,,
v000167,-0.155139541,-0.008584273,0.6283807203,-0.098516152,0.0649486981,-0.096248691,-0.178583745,0.1614331274,0.0181692082,1,fac3,1
v000168,0.2033245312,0.1561052982,0.1327514214,0.0213072457,-0.029286299,-0.019642681,-0.021325244,0.0220698597,0.0762931202,0,,
v000169,0.2470813979,0.3419154306,-0.077619673,-0.01689706,-0.144558446,0.1714686639,-0.186848831,-0.004650903,0.0982129672,1,fac2,1
v000170,0.2732988893,0.1323882944,-0.206671602,-0.159585016,-0.244571797,-0.102450859,0.141468891,-0.310249955,0.2222105506,1,fac8,-1
v000171,0.0860971039,0.5292196652,-0.117172988,-0.038062586,-0.080652592,-0.013023883,-0.166437743,-0.038175161,0.0579085253,1,fac2,1
v000172,-0.155725214,0.1259546366,0.1261862439,0.0012139899,-0.095383333,0.0876053965,-0.356047247,0.2235301263,0.1577084188,1,fac7,-1
v000173,-0.120042617,0.1201816173,0.0034455283,-0.28928109,0.1468798585,-0.083914696,-0.358053791,0.2627630336,-0.117554642,1,fac7,-1
v000174,-0.211122589,-0.176233734,0.5043394541,0.0173034098,-0.001147127,-0.210220361,-0.090460444,0.1933175041,-0.028317236,1,fac3,1
v000175,0.1792673555,0.2980572875,-0.019196752,-0.027582273,0.0315982397,0.2969754905,0.0966606141,0.0333420932,-0.034879824,0,,
